Dấu thời gian,Câu 1 — Bạn đã từng phải quay lại bài cũ để tìm một khái niệm khi đang học bài mới chưa? ,"Câu 2 -  Khi đang học bài mới, bạn phải quay lại bài cũ để tìm lại nội dung với tần suất như thế nào? ","Câu  -  Khi cần tìm lại một khái niệm/nội dung đã học ở bài cũ, thông thường bạn mất khoảng bao lâu để tìm được đúng chỗ?","Câu 4 -  Khi cần tìm lại nội dung đã học, bạn thường làm cách nào? ",Câu 5 -  Bạn có biết cách tìm kiếm một từ khóa trên toàn bộ các bài giảng/course materials đã học trên VLearn không?,"Câu 6 -  Khi bạn hỏi Tutor AI về nội dung đang học, câu trả lời thường bám sát slide/trang/lesson bạn đang mở ở mức nào?  ","Câu 7 -  Khi câu trả lời đầu tiên của Tutor AI chưa đáp ứng được nhu cầu, bạn thường phải hỏi lại bao nhiêu lần trước khi có câu trả lời có thể sử dụng? ","Câu 8 -  Nếu bạn từng bỏ cuộc khi đang cố tìm lại một nội dung đã học, nguyên nhân nào khiến bạn bỏ cuộc? ","Câu 9 -  Hãy mô tả ngắn gọn một lần gần đây bạn gặp khó khăn khi tìm lại một nội dung đã học. Bạn có thể viết đúng cách bạn thường nói, không cần viết theo kiểu học thuật.","Câu 10 -  Nếu bạn từng gặp trường hợp Tutor AI trả lời chưa sát với bài giảng hoặc khiến bạn phải kiểm tra lại slide, hãy mô tả trải nghiệm đó. Bạn có thể viết nguyên văn theo cách bạn thường nói. "
18/09/2026 3:08:27,Không nhớ,Thỉnh thoảng,Trên 10 phút,,"Có, tôi biết nhưng chưa sử dụng",Ít bám,4 lần trở lên,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:08:29,Không,3–5 lần/tuần,3–5 phút,,"Có, tôi biết nhưng chưa sử dụng",Hoàn toàn không bám sát,0,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:08:32,Có,Chưa từng,Trên 10 phút,,"Có, tôi biết nhưng chưa sử dụng",Hoàn toàn không bám sát,Tôi chưa từng dùng Tutor AI,,Mình nhớ mang máng khái niệm nhưng không nhớ nó nằm ở lesson nào nên phải mở lại khá nhiều bài.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:08:34,Không nhớ,Thỉnh thoảng,1–3 phút,,Không chắc,Rất sát,3,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:08:37,Có,Chưa từng,5–10 phút,,Không chắc,Khá sát,3,,Mình phải mở từng bài cũ ra kiểm tra vì không nhớ chính xác nội dung nằm ở đâu.,Mình hỏi Tutor AI nhưng câu trả lời hơi chung chung nên phải hỏi lại vài lần.
18/09/2026 3:08:39,Có,Gần như mỗi ngày,3–5 phút,,"Có, tôi biết và đã sử dụng",Rất sát,1,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Tutor AI đôi lúc không bám đúng nội dung lesson nên mình phải kiểm tra lại tài liệu.
18/09/2026 3:08:42,Không nhớ,Chưa từng,Không tìm được,,Không chắc,Ít bám,2,,Mình nhớ mang máng khái niệm nhưng không nhớ nó nằm ở lesson nào nên phải mở lại khá nhiều bài.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:08:44,Không nhớ,Gần như mỗi ngày,Trên 10 phút,,Tôi không nghĩ VLearn có chức năng này,Ít bám,3,,"Có lần mình nhớ nội dung nhưng không nhớ nằm ở slide nào, tìm một lúc khá lâu.",Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:08:47,Không,Chưa từng,Dưới 30 giây,,"Có, tôi biết nhưng chưa sử dụng",Rất sát,0,,Mình nhớ mang máng khái niệm nhưng không nhớ nó nằm ở lesson nào nên phải mở lại khá nhiều bài.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:08:50,Không,3–5 lần/tuần,Dưới 30 giây,,Không chắc,Một phần,1,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Tutor AI đôi lúc không bám đúng nội dung lesson nên mình phải kiểm tra lại tài liệu.
18/09/2026 3:08:52,Không,Chưa từng,5–10 phút,,Tôi không nghĩ VLearn có chức năng này,Một phần,0,,Mình nhớ mang máng khái niệm nhưng không nhớ nó nằm ở lesson nào nên phải mở lại khá nhiều bài.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:08:55,Không nhớ,3–5 lần/tuần,Trên 10 phút,,"Có, tôi biết nhưng chưa sử dụng",Rất sát,Tôi chưa từng dùng Tutor AI,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:08:58,Không,Chưa từng,Dưới 30 giây,,"Có, tôi biết và đã sử dụng",Hoàn toàn không bám sát,0,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:09:00,Có,Chưa từng,Trên 10 phút,,Tôi không nghĩ VLearn có chức năng này,Hoàn toàn không bám sát,0,,Mình phải mở từng bài cũ ra kiểm tra vì không nhớ chính xác nội dung nằm ở đâu.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:03,Có,Gần như không bao giờ,Trên 10 phút,,Không biết có chức năng này,Hoàn toàn không bám sát,3,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:09:05,Không nhớ,Gần như mỗi ngày,Dưới 30 giây,,Không biết có chức năng này,Hoàn toàn không bám sát,2,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Có lúc Tutor AI giải thích đúng ý nhưng không giống cách trình bày trong slide nên mình vẫn phải mở slide kiểm tra.
18/09/2026 3:09:08,Không,Chưa từng,Không tìm được,,Tôi không nghĩ VLearn có chức năng này,Một phần,0,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Mình hỏi Tutor AI nhưng câu trả lời hơi chung chung nên phải hỏi lại vài lần.
18/09/2026 3:09:11,Không nhớ,1–2 lần/tuần,1–3 phút,,Không biết có chức năng này,Rất sát,Tôi chưa từng dùng Tutor AI,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:09:14,Không nhớ,1–2 lần/tuần,1–3 phút,,Không chắc,Hoàn toàn không bám sát,Tôi chưa từng dùng Tutor AI,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:16,Có,1–2 lần/tuần,1–3 phút,,"Có, tôi biết và đã sử dụng",Ít bám,Tôi chưa từng dùng Tutor AI,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Tutor AI đôi lúc không bám đúng nội dung lesson nên mình phải kiểm tra lại tài liệu.
18/09/2026 3:09:19,Có,Thỉnh thoảng,5–10 phút,,Không chắc,Hoàn toàn không bám sát,3,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:21,Có,Thỉnh thoảng,Không tìm được,,Không biết có chức năng này,Rất sát,Tôi chưa từng dùng Tutor AI,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:09:24,Không nhớ,1–2 lần/tuần,3–5 phút,,"Có, tôi biết và đã sử dụng",Một phần,Tôi chưa từng dùng Tutor AI,,Mình phải mở từng bài cũ ra kiểm tra vì không nhớ chính xác nội dung nằm ở đâu.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:26,Có,Gần như mỗi ngày,5–10 phút,,Không chắc,Một phần,2,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có lần AI giải thích thêm thông tin ngoài slide nên mình phải quay lại xem tài liệu gốc.
18/09/2026 3:09:29,Không nhớ,1–2 lần/tuần,30 giây – 1 phút,,"Có, tôi biết nhưng chưa sử dụng",Rất sát,1,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có lúc Tutor AI giải thích đúng ý nhưng không giống cách trình bày trong slide nên mình vẫn phải mở slide kiểm tra.
18/09/2026 3:09:31,Không,3–5 lần/tuần,3–5 phút,,"Có, tôi biết và đã sử dụng",Rất sát,3,,"Có lần mình nhớ nội dung nhưng không nhớ nằm ở slide nào, tìm một lúc khá lâu.",Có lúc Tutor AI giải thích đúng ý nhưng không giống cách trình bày trong slide nên mình vẫn phải mở slide kiểm tra.
18/09/2026 3:09:34,Không,Chưa từng,Trên 10 phút,,Không chắc,Một phần,Tôi chưa từng dùng Tutor AI,,Có lúc mình biết mình đã học rồi nhưng tìm lại rất mất thời gian.,Có lúc Tutor AI giải thích đúng ý nhưng không giống cách trình bày trong slide nên mình vẫn phải mở slide kiểm tra.
18/09/2026 3:09:36,Không,1–2 lần/tuần,5–10 phút,,Không biết có chức năng này,Khá sát,Tôi chưa từng dùng Tutor AI,,Mình nhớ mang máng khái niệm nhưng không nhớ nó nằm ở lesson nào nên phải mở lại khá nhiều bài.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:09:39,Có,Gần như không bao giờ,3–5 phút,,"Có, tôi biết và đã sử dụng",Khá sát,1,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:09:42,Có,1–2 lần/tuần,5–10 phút,,"Có, tôi biết nhưng chưa sử dụng",Rất sát,2,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:44,Có,Gần như mỗi ngày,Dưới 30 giây,,Không biết có chức năng này,Ít bám,Tôi chưa từng dùng Tutor AI,,Mình phải mở từng bài cũ ra kiểm tra vì không nhớ chính xác nội dung nằm ở đâu.,Tutor AI đôi lúc không bám đúng nội dung lesson nên mình phải kiểm tra lại tài liệu.
18/09/2026 3:09:46,Không nhớ,Thỉnh thoảng,1–3 phút,,Tôi không nghĩ VLearn có chức năng này,Hoàn toàn không bám sát,0,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Mình phải hỏi lại vì câu trả lời đầu tiên chưa sát với phần mình đang học.
18/09/2026 3:09:49,Không,Gần như không bao giờ,30 giây – 1 phút,,Tôi không nghĩ VLearn có chức năng này,Hoàn toàn không bám sát,2,,"Có lần đang học bài mới thì cần lại một khái niệm cũ, mình phải quay lại mấy lesson trước để tìm.",Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
18/09/2026 3:09:51,Không,3–5 lần/tuần,5–10 phút,,Không chắc,Rất sát,4 lần trở lên,,Mình nhớ từ khóa nhưng không biết tìm ở file nào nên cuối cùng phải mở nhiều slide.,Có trường hợp AI trả lời nghe hợp lý nhưng mình không chắc có đúng với bài đang học không.
